iter	Logloss
239	0.5953860631
240	0.5953696145
241	0.5953589267
242	0.5953450808
243	0.5953287105
244	0.5953072249
245	0.5952980894
246	0.5952866278
247	0.5952525078
248	0.5952369978
249	0.5952203565
250	0.5951970076
251	0.5951762538
252	0.5951454709
253	0.5951222326
254	0.5950835884
255	0.5950590259
256	0.5950442716
257	0.5950315106
258	0.5950157218
259	0.5949896854
260	0.594977613
261	0.594954796
262	0.5949345901
263	0.5949107189
264	0.594893165
265	0.5948648704
266	0.5948507129
267	0.5947960499
268	0.5947678841
269	0.5947552934
270	0.5947366151
271	0.5947165634
272	0.594704344
273	0.594681385
274	0.5946361214
275	0.5946196786
276	0.5946083647
277	0.5945724648
278	0.5945519881
279	0.5945402526
280	0.5945207805
281	0.5945093109
282	0.594474815
283	0.5944537752
284	0.5944329252
285	0.5944073118
286	0.5943936623
287	0.594375802
288	0.5943523578
289	0.5943352665
290	0.5943166226
291	0.594305891
292	0.5942860932
293	0.5942673276
294	0.5942433616
295	0.5942316722
296	0.5942165909
297	0.5941973963
298	0.5941847092
299	0.5941717855
300	0.5941576658
301	0.594137808
302	0.5941232113
303	0.5941050923
304	0.594088895
305	0.594069712
306	0.5940500013
307	0.5940369756
308	0.594019898
309	0.5939935546
310	0.5939758218
311	0.5939634226
312	0.5939455238
313	0.5939300731
314	0.5939077587
315	0.5938899661
316	0.5938813827
317	0.5938607586
318	0.593852458
319	0.593838448
320	0.5938248421
321	0.5938052033
322	0.5937960922
323	0.5937708372
324	0.593745877
325	0.5936931083
326	0.5936764868
327	0.5936484173
328	0.5936381338
329	0.59362408
330	0.5936110944
331	0.5935999456
332	0.5935708688
333	0.5935465861
334	0.5935335827
335	0.5935053488
336	0.5934877542
337	0.5934643233
338	0.5934451444
339	0.5934311948
340	0.5934182026
341	0.5933922382
342	0.593377687
343	0.593356186
344	0.5933384798
345	0.5933222985
346	0.5933034582
347	0.5932927547
348	0.5932767712
349	0.5932600718
350	0.5932365703
351	0.593224838
352	0.593214682
353	0.5932026439
354	0.593185681
355	0.5931751451
356	0.5931375838
357	0.5931249324
358	0.5931130091
359	0.5930973487
360	0.5930808642
361	0.5930641587
362	0.5930282564
363	0.5930135149
364	0.5929707647
365	0.5929360747
366	0.5929100511
367	0.5928960071
368	0.5928785793
369	0.5928628381
370	0.5928507056
371	0.5928395647
372	0.5928268101
373	0.5928089887
374	0.5927885022
375	0.5927773661
376	0.5927390674
377	0.5927198518
378	0.5927026781
379	0.592688119
380	0.592669309
381	0.5926601688
382	0.5926404446
383	0.5926293232
384	0.5926173051
385	0.5926044389
386	0.5925798214
387	0.5925708481
388	0.5925609088
389	0.5925497562
390	0.5925426169
391	0.5925306083
392	0.592516784
393	0.592510396
394	0.5924955885
395	0.5924671926
396	0.5924570718
397	0.5924450208
398	0.5924306338
399	0.5924212661
400	0.592409681
401	0.5923884555
402	0.5923792285
403	0.5923637415
404	0.5923146421
405	0.5923023241
406	0.5922943132
407	0.5922847093
408	0.5922632267
409	0.5922484265
410	0.5922388096
411	0.5922205459
412	0.5922145177
413	0.5922029789
414	0.5921942292
415	0.5921798334
416	0.592167371
417	0.5921477808
418	0.5921406006
419	0.5921226914
420	0.5921015259
421	0.5920866059
422	0.5920763822
423	0.592068457
424	0.5920571194
425	0.5920436326
426	0.592035646
427	0.5920208573
428	0.5919974614
429	0.5919905872
430	0.5919752303
431	0.5919640449
432	0.5919536398
433	0.5919272305
434	0.5919133192
435	0.5918999367
436	0.5918953634
437	0.5918796331
438	0.5918648399
439	0.5918465913
440	0.5918304531
441	0.5918080962
442	0.5917947697
443	0.5917798569
444	0.5917724902
445	0.5917593637
446	0.5917404534
447	0.5917292348
448	0.5917156063
449	0.5917023664
450	0.5916959892
451	0.591680605
452	0.5916729038
453	0.5916616725
454	0.5916534214
455	0.5916467183
456	0.5916288791
457	0.5916201531
458	0.5916075492
459	0.5915947217
460	0.5915804085
461	0.5915626812
462	0.5915544235
463	0.5915438905
464	0.591531161
465	0.5915190368
466	0.5914979009
467	0.5914830352
468	0.5914667779
469	0.5914488397
470	0.5914404749
471	0.5914254194
472	0.5914153426
473	0.5913972514
474	0.5913867502
475	0.5913637928
476	0.5913508659
477	0.5913383087
478	0.5913322947
479	0.5913243775
480	0.5913102242
481	0.5913013926
482	0.5912955034
483	0.5912856541
484	0.5912446184
485	0.5912338425
486	0.591223343
487	0.5912111237
488	0.5912082977
489	0.5911982024
490	0.5911906079
491	0.591178597
492	0.5911665963
493	0.5911611533
494	0.5911529789
495	0.5911431866
496	0.5911329909
497	0.5911196033
498	0.5911061969
499	0.5910796626
500	0.5910671545
501	0.5910527935
502	0.5910279383
503	0.5910185377
504	0.5909918611
505	0.5909806109
506	0.5909687579
507	0.5909546569
508	0.5909404457
509	0.5909247467
510	0.590911486
511	0.5909004311
512	0.5908918923
513	0.5908757772
514	0.5908676105
515	0.590859413
516	0.5908451234
517	0.5908203091
518	0.5908114333
519	0.590798063
520	0.5907835224
521	0.5907700893
522	0.5907600064
523	0.5907488748
524	0.5907385474
525	0.5907280424
526	0.5907089668
527	0.5907020797
528	0.5906921733
529	0.5906737804
530	0.5906620915
531	0.590636852
532	0.5906272249
533	0.5906197511
534	0.5906130595
535	0.5906002376
536	0.5905925259
537	0.5905839559
538	0.5905727701
539	0.5905536562
540	0.590538841
541	0.5905254856
542	0.5905158897
543	0.5905082038
544	0.5904965512
545	0.5904866211
546	0.5904744784
547	0.590468171
548	0.5904541602
549	0.5904454025
550	0.5904292263
551	0.5904213568
552	0.5904204905
553	0.5904110339
554	0.590397738
555	0.5903843558
556	0.5903725398
557	0.5903666141
558	0.5903562067
559	0.5903437333
560	0.5903327972
561	0.5903137164
562	0.5903054784
563	0.590295899
564	0.5902863762
565	0.5902766689
566	0.5902686083
567	0.590265564
568	0.5902524806
569	0.5902461786
570	0.590237187
571	0.5902296872
572	0.5902112619
573	0.5901975867
574	0.5901879126
575	0.5901767602
576	0.5901635417
577	0.5901526469
578	0.5901384761
579	0.5901287162
580	0.5901174238
581	0.590106909
582	0.590094561
583	0.5900837477
584	0.5900742036
585	0.5900682192
586	0.59005583
587	0.5900495135
588	0.5900379449
589	0.5900332097
590	0.5900165505
591	0.5900096213
592	0.5899941098
593	0.5899852126
594	0.5899749169
595	0.5899661007
596	0.5899357366
597	0.5899267299
598	0.5899179996
599	0.5899086479
600	0.5898975149
601	0.5898874724
602	0.5898806555
603	0.5898710346
604	0.5898600092
605	0.5898513384
606	0.5898452233
607	0.5898354486
608	0.5898262495
609	0.5898124026
610	0.5898030337
611	0.5897942309
612	0.589780197
613	0.5897724178
614	0.5897637417
615	0.5897454448
616	0.5897354686
617	0.5897292763
618	0.5897212114
619	0.5897165009
620	0.5897053881
621	0.5896961596
622	0.5896855396
623	0.5896742954
624	0.5896636827
625	0.5896532498
626	0.5896349312
627	0.5896206996
628	0.5896106309
629	0.5896044684
630	0.5895966127
631	0.5895786107
632	0.5895721123
633	0.5895652174
634	0.5895559722
635	0.5895414413
636	0.5895289182
637	0.5895186487
638	0.5895067019
639	0.5894908752
640	0.5894780175
641	0.5894674571
642	0.5894572758
643	0.5894485152
644	0.5894436896
645	0.5894318459
646	0.5894252336
647	0.589413106
648	0.5893875806
649	0.5893806617
650	0.5893668736
651	0.5893585519
652	0.5893402883
653	0.5893290449
654	0.5893168543
655	0.589310837
656	0.5893017474
657	0.5892902605
658	0.5892781298
659	0.5892743555
660	0.5892602132
661	0.589248412
662	0.5892368292
663	0.5892271919
664	0.5892136716
665	0.5892084138
666	0.5891925587
667	0.5891885672
668	0.5891767187
669	0.589168382
670	0.5891550568
671	0.5891448839
672	0.5891416286
673	0.5891158517
674	0.5891047455
675	0.5890926373
676	0.5890830632
677	0.5890737552
678	0.5890635197
679	0.5890533251
680	0.5890452033
681	0.5890413881
682	0.5890366923
683	0.5890187834
684	0.5890104079
685	0.5890058052
686	0.5889978887
687	0.5889886084
688	0.5889800219
689	0.5889700141
690	0.5889623417
691	0.5889532537
692	0.588943069
693	0.5889370012
694	0.5889317595
695	0.5889266105
696	0.5889170073
697	0.588910066
698	0.588899284
699	0.5888906501
700	0.5888856494
701	0.5888810759
702	0.5888725677
703	0.5888701262
704	0.5888621881
705	0.5888550729
706	0.5888423682
707	0.588833554
708	0.5888231535
709	0.588812738
710	0.5888011773
711	0.5887861713
712	0.588779383
713	0.5887665358
714	0.5887599128
715	0.5887536808
716	0.5887444685
717	0.5887327439
718	0.5887181914
719	0.5887133722
720	0.5887021498
721	0.588694782
722	0.5886839968
723	0.5886773994
724	0.5886657296
725	0.5886540461
726	0.5886432857
727	0.5886380247
728	0.5886304804
729	0.5886205756
730	0.5886120591
731	0.5886002031
732	0.5885941655
733	0.5885849613
734	0.5885786163
735	0.5885715315
736	0.5885670876
737	0.5885544325
738	0.5885437906
739	0.5885322203
740	0.5885231136
741	0.5885184041
742	0.5885042816
743	0.5885011833
744	0.588490747
745	0.5884799555
746	0.58847242
747	0.5884630656
748	0.5884529227
749	0.5884405615
750	0.5884329433
751	0.5884252022
752	0.588417245
753	0.5884014303
754	0.5883984625
755	0.5883969147
756	0.5883859344
757	0.588380889
758	0.588373268
759	0.5883622522
760	0.588345107
761	0.5883342025
762	0.5883249666
763	0.5883195425
764	0.5883103798
765	0.5883014024
766	0.588289575
767	0.5882795393
768	0.5882662933
769	0.5882566811
770	0.5882466716
771	0.5882384863
772	0.5882300735
773	0.5882296873
774	0.5882257176
775	0.5882180379
776	0.588204636
777	0.5881953764
778	0.5881900078
779	0.5881848104
780	0.5881763413
781	0.5881641165
782	0.5881538025
783	0.5881457031
784	0.5881347849
785	0.5881302994
786	0.5881233859
787	0.5881180419
788	0.5881127484
789	0.5881045319
790	0.5880958463
791	0.5880875258
792	0.5880765543
793	0.588067097
794	0.5880595786
795	0.5880567008
796	0.5880446604
797	0.5880370757
798	0.5880315721
799	0.5880274269
800	0.5880202571
801	0.5880162378
802	0.5880034278
803	0.587994714
804	0.5879868494
805	0.5879743501
806	0.5879634334
807	0.5879546584
808	0.5879511426
809	0.5879388913
810	0.5879306923
811	0.5879170664
812	0.5879082043
813	0.5879021406
814	0.58789863
815	0.5878941932
816	0.5878818585
817	0.587872829
818	0.587864611
819	0.5878608154
820	0.587850246
821	0.5878400739
822	0.5878331706
823	0.5878204023
824	0.5878092739
825	0.5877982217
826	0.5877866153
827	0.5877776365
828	0.5877734657
829	0.587764997
830	0.5877564461
831	0.5877479903
832	0.5877371079
833	0.587730365
834	0.5877218509
835	0.587714292
836	0.5877103298
837	0.5877009127
838	0.5876923406
839	0.5876840246
840	0.5876799677
841	0.587668818
842	0.5876676137
843	0.587659831
844	0.5876564734
845	0.5876444999
846	0.5876234991
847	0.5876161973
848	0.5876089392
849	0.5876002078
850	0.5875918289
851	0.5875814435
852	0.5875764182
853	0.5875734369
854	0.5875673952
855	0.587557473
856	0.5875468294
857	0.5875404737
858	0.5875331194
859	0.5875159646
860	0.5875077241
861	0.5874971424
862	0.5874915982
863	0.5874751466
864	0.5874692693
865	0.5874588744
866	0.5874536427
867	0.5874435405
868	0.5874327274
869	0.5874261156
870	0.5874165084
871	0.5874100921
872	0.5874017614
873	0.5873971268
874	0.5873908083
875	0.5873827486
876	0.5873779826
877	0.5873677315
878	0.5873579003
879	0.5873504879
880	0.5873449265
881	0.5873322732
882	0.5873266833
883	0.5873176884
884	0.5873131408
885	0.5873035485
886	0.5872968827
887	0.5872928838
888	0.5872901868
889	0.5872824594
890	0.587275102
891	0.5872671663
892	0.5872557215
893	0.5872456741
894	0.5872353066
895	0.5872257894
896	0.5872049057
897	0.5871962531
898	0.5871887616
899	0.5871821734
900	0.5871755616
901	0.5871675131
902	0.5871580465
903	0.5871506073
904	0.5871420355
905	0.587132409
906	0.5871153539
907	0.5871080045
908	0.5871020929
909	0.5870929571
910	0.5870864623
911	0.5870800686
912	0.5870731895
913	0.5870663839
914	0.5870586355
915	0.5870476389
916	0.5870446704
917	0.5870358164
918	0.587025377
919	0.587021082
920	0.5870120715
921	0.5870037167
922	0.5869945021
923	0.5869866086
924	0.5869743293
925	0.5869584807
926	0.5869491273
927	0.5869400889
928	0.5869292335
929	0.5869253387
930	0.5869215475
931	0.5869169579
932	0.58690816
933	0.5869004028
934	0.5868892073
935	0.5868828427
936	0.5868763932
937	0.5868686304
938	0.5868598515
939	0.5868500593
940	0.5868395865
941	0.5868304602
942	0.5868259593
943	0.5868170155
944	0.5868045812
945	0.586795614
946	0.5867867211
947	0.5867797761
948	0.5867736948
949	0.5867672319
950	0.5867577095
951	0.586750383
952	0.5867422231
953	0.5867341783
954	0.5867239479
955	0.5867110457
956	0.5867017849
957	0.5866974805
958	0.5866866367
959	0.5866838016
960	0.5866781994
961	0.586676071
962	0.5866742099
963	0.586664696
964	0.5866562825
965	0.5866476024
966	0.5866366748
967	0.5866320811
968	0.5866244722
969	0.5866178886
970	0.5866075146
971	0.5865969807
972	0.586587978
973	0.5865864918
974	0.5865828143
975	0.586575992
976	0.5865656434
977	0.5865637183
978	0.586552495
979	0.5865422314
980	0.5865366964
981	0.5865284242
982	0.5865257968
983	0.5865172814
984	0.5865098175
985	0.5865005263
986	0.5864938175
987	0.58648748
988	0.5864751776
989	0.5864703619
990	0.5864612965
991	0.5864589021
992	0.586450757
993	0.5864419381
994	0.5864349125
995	0.5864209304
996	0.586409001
997	0.5863995442
998	0.5863944131
999	0.5863882537
