iter	Passed	Remaining
399	96719	145079
400	96967	144846
401	97201	144593
402	97458	144373
403	97720	144162
404	97983	143950
405	98228	143713
406	98467	143466
407	98726	143250
408	98965	143004
409	99188	142734
410	99441	142508
411	99695	142283
412	99949	142058
413	100204	141835
414	100457	141609
415	100703	141371
416	100956	141144
417	101207	140915
418	101405	140612
419	101617	140328
420	101852	140077
421	102073	139806
422	102309	139556
423	102513	139263
424	102753	139019
425	103009	138797
426	103226	138521
427	103468	138280
428	103711	138040
429	103940	137782
430	104177	137533
431	104417	137289
432	104656	137043
433	104898	136802
434	105137	136557
435	105344	136270
436	105529	135957
437	105756	135696
438	105981	135434
439	106219	135188
440	106471	134961
441	106705	134710
442	106959	134484
443	107204	134247
444	107450	134011
445	107685	133761
446	107890	133475
447	108143	133248
448	108392	133016
449	108647	132791
450	108883	132543
451	109141	132321
452	109393	132093
453	109643	131862
454	109892	131629
455	110143	131399
456	110369	131139
457	110626	130916
458	110874	130682
459	111124	130450
460	111362	130204
461	111606	129965
462	111852	129729
463	112088	129481
464	112337	129248
465	112593	129023
466	112851	128800
467	113102	128569
468	113341	128324
469	113582	128082
470	113831	127849
471	114088	127624
472	114344	127398
473	114589	127160
474	114795	126878
475	115046	126647
476	115293	126412
477	115530	126165
478	115747	125896
479	116002	125669
480	116253	125437
481	116504	125206
482	116718	124934
483	116963	124697
484	117220	124471
485	117469	124237
486	117736	124022
487	117997	123800
488	118227	123546
489	118483	123319
490	118745	123098
491	118989	122859
492	119230	122616
493	119487	122390
494	119744	122163
495	119997	121933
496	120245	121696
497	120495	121462
498	120746	121229
499	120992	120992
500	121208	120724
501	121466	120498
502	121714	120262
503	121963	120027
504	122199	119779
505	122453	119549
506	122713	119324
507	122954	119081
508	123203	118846
509	123453	118612
510	123687	118362
511	123924	118115
512	124176	117883
513	124401	117624
514	124659	117397
515	124912	117166
516	125113	116885
517	125338	116627
518	125570	116376
519	125825	116146
520	126063	115901
521	126315	115668
522	126559	115427
523	126826	115208
524	127078	114975
525	127305	114720
526	127518	114452
527	127750	114201
528	127986	113953
529	128243	113725
530	128480	113478
531	128709	113225
532	128943	112976
533	129171	112722
534	129407	112475
535	129652	112236
536	129900	111999
537	130146	111761
538	130400	111529
539	130659	111302
540	130912	111069
541	131180	110850
542	131419	110605
543	131678	110377
544	131924	110139
545	132177	109905
546	132427	109670
547	132655	109416
548	132923	109195
549	133182	108967
550	133446	108743
551	133699	108509
552	133913	108244
553	134173	108016
554	134417	107776
555	134678	107548
556	134916	107303
557	135184	107081
558	135425	106838
559	135679	106605
560	135921	106363
561	136162	106119
562	136417	105887
563	136651	105638
564	136905	105404
565	137144	105159
566	137400	104928
567	137638	104683
568	137839	104409
569	138070	104158
570	138275	103888
571	138538	103661
572	138822	103450
573	139065	103208
574	139324	102979
575	139548	102723
576	139807	102493
577	140057	102256
578	140292	102008
579	140541	101771
580	140778	101525
581	140969	101246
582	141201	100996
583	141362	100696
584	141634	100475
585	141851	100215
586	142104	99981
587	142314	99716
588	142562	99479
589	142805	99237
590	143043	98993
591	143295	98757
592	143553	98526
593	143792	98282
594	144011	98024
595	144246	97778
596	144525	97560
597	144785	97330
598	145046	97101
599	145285	96857
600	145502	96598
601	145730	96346
602	145984	96112
603	146244	95882
604	146472	95631
605	146711	95386
606	146966	95153
607	147195	94902
608	147437	94660
609	147674	94414
610	147909	94167
611	148159	93930
612	148365	93666
613	148626	93435
614	148857	93186
615	149086	92937
616	149335	92699
617	149576	92456
618	149765	92181
619	150021	91948
620	150262	91706
621	150512	91468
622	150764	91232
623	151022	91000
624	151246	90747
625	151499	90512
626	151705	90248
627	151958	90013
628	152216	89781
629	152467	89544
630	152680	89285
631	152939	89053
632	153194	88818
633	153455	88587
634	153726	88362
635	153966	88119
636	154208	87876
637	154466	87644
638	154719	87408
639	154934	87150
640	155188	86915
641	155431	86673
642	155694	86443
643	155946	86206
644	156167	85952
645	156396	85703
646	156633	85458
647	156898	85228
648	157155	84994
649	157404	84756
650	157677	84530
651	157927	84292
652	158180	84055
653	158423	83814
654	158677	83578
655	158942	83348
656	159197	83112
657	159440	82870
658	159701	82637
659	159926	82386
660	160172	82146
661	160409	81901
662	160661	81663
663	160918	81428
664	161164	81187
665	161401	80942
666	161655	80706
667	161867	80449
668	162120	80212
669	162374	79975
670	162632	79740
671	162886	79504
672	163095	79245
673	163359	79013
674	163608	78774
675	163865	78538
676	164105	78295
677	164369	78063
678	164602	77816
679	164851	77577
680	165065	77321
681	165292	77071
682	165471	76800
683	165735	76567
684	165982	76327
685	166209	76078
686	166464	75842
687	166728	75609
688	166991	75376
689	167222	75129
690	167460	74884
691	167689	74636
692	167952	74403
693	168174	74151
694	168432	73916
695	168651	73663
696	168885	73417
697	169124	73174
698	169389	72941
699	169639	72702
700	169839	72442
701	170056	72189
702	170307	71950
703	170500	71687
704	170753	71449
705	170994	71207
706	171214	70956
707	171445	70708
708	171672	70460
709	171878	70203
710	172093	69950
711	172311	69698
712	172554	69457
713	172813	69222
714	173025	68968
715	173223	68708
716	173455	68462
717	173708	68225
718	173934	67977
719	174163	67730
720	174410	67490
721	174654	67249
722	174889	67004
723	175094	66748
724	175354	66513
725	175604	66275
726	175812	66020
727	176045	65775
728	176300	65538
729	176554	65301
730	176800	65060
731	177059	64825
732	177277	64574
733	177530	64336
734	177784	64099
735	178041	63862
736	178239	63605
737	178484	63364
738	178750	63131
739	178996	62890
740	179209	62638
741	179441	62393
742	179677	62149
743	179921	61908
744	180165	61667
745	180415	61428
746	180658	61187
747	180911	60948
748	181165	60711
749	181403	60467
750	181650	60227
751	181881	59982
752	182117	59738
753	182370	59500
754	182626	59262
755	182823	59006
756	183064	58764
757	183282	58514
758	183526	58274
759	183787	58038
760	184036	57798
761	184278	57556
762	184532	57318
763	184759	57072
764	185018	56835
765	185276	56598
766	185510	56354
767	185765	56116
768	185986	55868
769	186230	55627
770	186467	55383
771	186722	55145
772	186963	54903
773	187202	54661
774	187461	54424
775	187715	54185
776	187940	53939
777	188201	53702
778	188454	53464
779	188676	53216
780	188925	52976
781	189180	52738
782	189423	52496
783	189673	52257
784	189907	52012
785	190143	51769
786	190387	51528
787	190641	51289
788	190868	51043
789	191121	50804
790	191359	50561
791	191603	50320
792	191843	50077
793	192080	49834
794	192342	49597
795	192569	49351
796	192806	49108
797	193065	48871
798	193315	48631
799	193564	48391
800	193797	48146
801	194016	47899
802	194242	47653
803	194494	47414
804	194743	47173
805	195004	46936
806	195242	46693
807	195508	46457
808	195713	46206
809	195956	45965
810	196208	45725
811	196467	45487
812	196723	45248
813	196956	45004
814	197212	44765
815	197390	44509
816	197646	44270
817	197886	44028
818	198139	43789
819	198374	43545
820	198610	43302
821	198851	43060
822	199116	42823
823	199349	42579
824	199605	42340
825	199840	42097
826	200094	41857
827	200341	41616
828	200556	41369
829	200818	41131
830	201056	40888
831	201295	40646
832	201532	40403
833	201786	40163
834	202041	39924
835	202302	39686
836	202537	39442
837	202768	39198
838	203032	38961
839	203278	38719
840	203489	38471
841	203696	38223
842	203886	37971
843	204146	37733
844	204364	37486
845	204614	37246
846	204873	37007
847	205094	36762
848	205324	36518
849	205576	36278
850	205830	36038
851	206091	35799
852	206344	35559
853	206561	35313
854	206767	35065
855	207007	34823
856	207260	34583
857	207516	34344
858	207769	34104
859	207976	33856
860	208242	33618
861	208506	33380
862	208757	33139
863	209002	32898
864	209261	32659
865	209513	32418
866	209740	32174
867	210003	31936
868	210255	31695
869	210470	31449
870	210730	31210
871	210984	30970
872	211230	30728
873	211479	30487
874	211701	30243
875	211960	30003
876	212143	29753
877	212391	29512
878	212612	29267
879	212848	29024
880	213111	28785
881	213370	28546
882	213596	28302
883	213875	28065
884	214114	27822
885	214376	27583
886	214574	27335
887	214796	27091
888	215019	26847
889	215265	26605
890	215493	26362
891	215728	26119
892	215978	25878
893	216217	25636
894	216454	25394
895	216698	25152
896	216943	24910
897	217201	24670
898	217458	24430
899	217714	24190
900	217971	23950
901	218242	23711
902	218501	23471
903	218744	23229
904	218999	22988
905	219256	22748
906	219500	22506
907	219774	22267
908	220026	22026
909	220283	21786
910	220536	21545
911	220795	21304
912	221035	21062
913	221277	20820
914	221510	20577
915	221758	20335
916	221971	20091
917	222205	19848
918	222451	19606
919	222673	19362
920	222975	19126
921	223226	18884
922	223453	18641
923	223693	18399
924	223954	18158
925	224162	17913
926	224400	17671
927	224646	17429
928	224895	17187
929	225104	16943
930	225307	16698
931	225542	16455
932	225788	16214
933	226047	15973
934	226295	15731
935	226543	15490
936	226804	15249
937	227040	15006
938	227294	14765
939	227514	14522
940	227770	14281
941	227997	14038
942	228236	13795
943	228493	13554
944	228743	13313
945	228994	13071
946	229239	12829
947	229491	12588
948	229715	12345
949	229979	12104
950	230230	11862
951	230482	11620
952	230740	11379
953	230992	11138
954	231249	10896
955	231488	10654
956	231747	10412
957	231998	10171
958	232210	9927
959	232454	9685
960	232709	9443
961	232938	9201
962	233148	8957
963	233395	8716
964	233638	8473
965	233889	8232
966	234118	7989
967	234319	7746
968	234557	7503
969	234784	7261
970	235034	7019
971	235262	6777
972	235499	6534
973	235735	6292
974	235975	6050
975	236241	5809
976	236475	5566
977	236658	5323
978	236892	5081
979	237137	4839
980	237389	4597
981	237653	4356
982	237854	4113
983	238075	3871
984	238298	3628
985	238542	3387
986	238778	3145
987	239033	2903
988	239253	2661
989	239497	2419
990	239745	2177
991	240000	1935
992	240248	1693
993	240481	1451
994	240743	1209
995	240994	967
996	241235	725
997	241495	483
998	241712	241
999	241963	0
